result,rollno
,17H71A1201
,17H71A1202
,17H71A1204
,17H71A1203
,17H71A1205
,17H71A1206
,17H71A1207
,17H71A1208
,17H71A1209
,17H71A1210
,17H71A1211
,17H71A1212
,17H71A1213
,17H71A1214
,17H71A1215
"R1631052,UNIX AND SHELL PROGRAMMING,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,F,0,R1631121,HUMAN COMPUTER INTERACTION,D,3,R1631122,ADVANCED JAVA PROGRAMMING,F,0,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1216
,17H71A1217
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,C,3,R1631122,ADVANCED JAVA PROGRAMMING,C,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1218
"R1631052,UNIX AND SHELL PROGRAMMING,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,D,3,R1631055,OPERATING SYSTEMS,D,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,B,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,A,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,A,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A1219
"R1631052,UNIX AND SHELL PROGRAMMING,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631121,HUMAN COMPUTER INTERACTION,B,3,R1631122,ADVANCED JAVA PROGRAMMING,A,3,R1631123,ADVANCED JAVA PROGRAMMING LAB,S,2,R1631124,UNIX AND OPERATING SYSTEMS LAB,S,2,R1631125,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A1220
