result,rollno
,17H71A0501
,17H71A0502
,17H71A0503
,17H71A0504
,17H71A0506
,17H71A0505
,17H71A0507
,17H71A0508
,17H71A0509
,17H71A0510
,17H71A0511
,17H71A0512
,17H71A0513
,17H71A0514
,17H71A0515
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,S,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,A,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0516
,17H71A0517
,17H71A0518
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,D,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,D,3,R1631054,DATABASE MANAGEMENT SYSTEMS,F,0,R1631055,OPERATING SYSTEMS,D,3,R1631056,UNIFIED MODELING LAB,S,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,A,2",17H71A0519
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0520
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,B,3,R1631052,UNIX PROGRAMMING,S,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,A,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0521
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,A,3,R1631052,UNIX PROGRAMMING,B,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,B,3,R1631055,OPERATING SYSTEMS,B,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0522
,17H71A0523
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,B,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,A,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,S,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0524
,17H71A0525
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,F,0,R1631052,UNIX PROGRAMMING,C,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,C,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,O,2",17H71A0526
"R1631049,PROFESSIONAL ETHICS & HUMAN VALUES,COMPLETED,0,R1631051,COMPILER DESIGN,C,3,R1631052,UNIX PROGRAMMING,A,3,R1631053,OBJECT ORIENTED ANALYSIS AND DESIGN USING UML,C,3,R1631054,DATABASE MANAGEMENT SYSTEMS,C,3,R1631055,OPERATING SYSTEMS,S,3,R1631056,UNIFIED MODELING LAB,O,2,R1631057,OPERATING SYSTEM & LINUX PROGRAMMING LAB,O,2,R1631058,DATABASE MANAGEMENT SYSTEM LAB,S,2",17H71A0527
